filename,brand,type,abv,volume,producer,imported,country
cola-22339001000194-01.jpg,GREAT NOTION,MALT BEVERAGES SPECIALITIES - FLAVORED,9.3,unknown,"Great Notion Brewing & Barrel House, Humboldt Street Collective, LLC 2444 NW 28TH AVE Portland OR 97210",false,
cola-23054001000947-01.png,GREAT NOTION,MALT BEVERAGES SPECIALITIES - FLAVORED,12.1,500 mL,"Great Notion Brewing & Barrel House, Humboldt Street Collective, LLC 2444 NW 28TH AVE Portland OR 97210",false,
cola-23054001000950-01.jpg,GREAT NOTION,MALT BEVERAGES SPECIALITIES - FLAVORED,12.1,unknown,"Great Notion Brewing & Barrel House, Humboldt Street Collective, LLC 2444 NW 28TH AVE Portland OR 97210",false,
cola-23296001000347-01.jpg,GREAT NOTION,MALT BEVERAGES SPECIALITIES - FLAVORED,9.3,unknown,"Great Notion Brewing & Barrel House, Humboldt Street Collective, LLC 2444 NW 28TH AVE Portland OR 97210",false,
cola-23296001000366-01.jpg,GREAT NOTION,MALT BEVERAGES SPECIALITIES - FLAVORED,6.1,unknown,"Great Notion Brewing & Barrel House, Humboldt Street Collective, LLC 2444 NW 28TH AVE Portland OR 97210",false,
cola-26199001000065-02.png,DOMAINE LEFLAIVE,TABLE WHITE WINE,,unknown,WINE CELLARS LTD. 253 ROUTE 202 STE 1 SOMERS NY 10589,false,
cola-26202001000840-01.jpg,LA SPINONA,SPARKLING WINE/CHAMPAGNE,12.5,unknown,Parker Wolf Selections Inc 12300 WIRTH DR UNIT A Manchaca TX 78652,false,
cola-26205001000390-01.jpg,CONCEJO,TABLE RED WINE,,unknown,"CROD TRADING CORP, CROD TRADING CO CORP. 1 KM 28.6 BO. RIO CANAS BLDG Carr #1 Km 28.6 Bo. Rio Canas CAGUAS PR 00725",false,
cola-26216001000317-02.jpg,SIX NOIX,OTHER (HERBS & SEEDS),28,375 mL,"Forthave Spirits, Bitter Thieves, LLC 630 FLUSHING AVE Brooklyn NY 11206",false,
cola-26218001000008-02.png,BASE CAMP DISTILLING CO,VODKA - OTHER FLAVORED,,unknown,"Base Camp Distilling Co., DETA Investments LLC 939 FRONT STREET UNIT B Leavenworth WA 98826",false,
cola-26222001000694-01.jpg,CONCEJO,TABLE RED WINE,13.5,750 mL,"CROD TRADING CORP, CROD TRADING CO CORP. 1 KM 28.6 BO. RIO CANAS BLDG Carr #1 Km 28.6 Bo. Rio Canas CAGUAS PR 00725",false,
cola-26226001000481-01.jpg,SIMON BIZE & FILS,TABLE RED WINE,12.5,unknown,"INTERNATIONAL WINES, INC. 100 GILBERT DR ALABASTER AL 35007 INTERNATIONAL WINES, INC. (Used on label)",false,
cola-26228001000039-01.jpg,RICH & RARE,WHISKY SPECIALTIES,80,unknown,"BUFFALO TRACE DISTILLERY, BUFFALO TRACE DISTILLERY, INC. 113 GREAT BUFFALO TRACE FRANKFORT KY 40601 SAZERAC CO (Used on label)",false,
cola-26232001000090-02.jpg,SYMINGTON,TABLE RED WINE,,unknown,"Cellars USA, Cellars USA, LLC 239 MIRACLE MILE UNIT W Stonewall TX 78671",false,
cola-26233001000025-01.png,AZIENDA AGRICOLA CASALE,TABLE RED WINE,12.5,unknown,"NOBLE ESTATES, NOBLE HARVEST , LLC 66 WHITE ST PENTHOUSE 5 New York NY 10016",false,
cola-26233001000026-02.png,AZIENDA AGRICOLA CASALE,TABLE RED WINE,12.5,unknown,"NOBLE ESTATES, NOBLE HARVEST , LLC 66 WHITE ST PENTHOUSE 5 New York NY 10016",false,
cola-26233001000352-02.png,RIMFIRE,WHISKY,,unknown,"Old Glory Distilling Company, Cunningham Spirits LLC 451 ALFRED THUN RD CLARKSVILLE TN 37040 RIMFIRE WHISKEY (Used on label)",false,
cola-26233001000600-02.png,DIONYSUS,TABLE RED WINE,,unknown,"SCOTTO FAMILY CELLARS, TRI-STAR MARKETING, LLC 220 S CLUFF AVE LODI CA 95240 DIONYSUS WINE & BREW (Used on label)",false,
cola-26233001000603-02.png,DIONYSUS,TABLE WHITE WINE,,unknown,"SCOTTO FAMILY CELLARS, TRI-STAR MARKETING, LLC 220 S CLUFF AVE LODI CA 95240 DIONYSUS WINE & BREW (Used on label)",false,
cola-26237001000144-01.png,PUTIN IS A DICK,ALE,8.2,unknown,"Coquina Coast Brewing Company, Coquina Coast Brewing Company, Inc. 318 MOODY BLVD Flagler Beach FL 32136",false,
cola-26237001000168-02.jpg,VISCONDE DE ARNEIROS,DESSERT /PORT/SHERRY/(COOKING) WINE,19.5,unknown,"Cellars USA, Cellars USA, LLC 239 MIRACLE MILE UNIT W Stonewall TX 78671",false,
cola-26237001000210-02.jpg,WARRE'S,DESSERT /PORT/SHERRY/(COOKING) WINE,20,unknown,"Cellars USA, Cellars USA, LLC 239 MIRACLE MILE UNIT W Stonewall TX 78671",false,
cola-26238001000141-01.jpg,THORNHILL FARM,BOURBON WHISKY,40,375 mL,"Thornhill Farm, Thornhill Farm, LLC 114 PARK LN Ferrisburgh VT 05456 THORNHILL FARM (Used on label)",false,
