image_id,heading_bold,warning_body_bold
cola-22339001000194-01,yes,
cola-23054001000947-01,yes,
cola-23054001000950-01,yes,
cola-23296001000347-01,yes,
cola-23296001000366-01,yes,
cola-26199001000065-02,yes,
cola-26202001000840-01,yes,
cola-26205001000390-01,yes,
cola-26216001000317-02,yes,
cola-26218001000008-02,yes,
cola-26222001000694-01,ambiguous,
cola-26226001000481-01,yes,
cola-26228001000039-01,yes,
cola-26232001000090-02,yes,
cola-26233001000025-01,yes,
cola-26233001000026-02,yes,
cola-26233001000352-02,yes,
cola-26233001000600-02,yes,
cola-26233001000603-02,yes,
cola-26237001000144-01,yes,yes
cola-26237001000168-02,yes,
cola-26237001000210-02,yes,
cola-26238001000141-01,yes,
cola-26238001000296-01,yes,
cola-26238001000333-01,yes,
cola-26239001000576-01,yes,
cola-26239001000582-01,yes,
cola-26239001000600-01,yes,
cola-26239001000677-01,yes,
prior-bruery-back-1,yes,
prior-buffalo-trace-back,yes,
prior-lote-maestro-back-2,yes,
prior-ontanon-back-0,yes,
prior-vadio-back-0,yes,
cola-20281001000732-01,yes,
cola-22339001000191-01,yes,yes
cola-23296001000356-01,yes,
cola-26199001000065-01,ambiguous,
cola-26202001000840-02,ambiguous,
cola-26205001000390-02,ambiguous,
cola-26216001000317-01,ambiguous,
cola-26217001000886-01,yes,
cola-26218001000008-01,ambiguous,
cola-26222001000694-02,skip,
cola-26223001000418-01,skip,
cola-26223001000418-02,yes,
cola-26223001000427-01,skip,
cola-26223001000427-02,yes,
cola-26223001000428-01,skip,
cola-26223001000428-02,yes,
cola-26226001000481-02,skip,
cola-26226001000509-01,yes,
cola-26228001000035-01,skip,
cola-26228001000035-02,ambiguous,
cola-26232001000090-01,skip,
cola-26232001000090-03,skip,
cola-26232001000563-01,yes,
cola-26233001000025-02,skip,
cola-26233001000026-01,skip,
cola-26233001000352-01,skip,
cola-26233001000600-01,skip,
cola-26233001000603-01,skip,
cola-26237001000168-01,skip,
cola-26237001000168-03,skip,
cola-26237001000210-01,skip,
cola-26237001000210-03,skip,
cola-26238001000333-02,skip,
cola-26239001000446-01,yes,
cola-26239001000576-02,skip,
cola-26239001000582-02,skip,
cola-26239001000600-02,skip,
cola-26239001000677-02,skip,
