image_id,filename,source_class,ttb_id,file,sha256,width_px,height_px,brand_from_cola,class_type_from_cola,producer_from_cola,abv_from_artwork,net_contents_from_artwork,human_judge,heading_bold,warning_body_bold,heading_uppercase,statement_wording_exact,polarity,estimated_heading_cap_height_after_1800px,annotation_note
cola-22339001000194-01,cola-22339001000194-01.jpg,commercial_cola_artwork,22339001000194,images/cola-22339001000194-01.jpg,d06c4bca3e31e0c90143bc54788efb5e795c99848cbcf05d429a9de08c6109cb,1200,1600,GREAT NOTION,MALT BEVERAGES SPECIALITIES - FLAVORED,"Great Notion Brewing & Barrel House, Humboldt Street Collective, LLC 2444 NW 28TH AVE Portland OR 97210",9.3,,Lucas Chatham,yes,,yes,unreadable,light-on-dark,31,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-23054001000947-01,cola-23054001000947-01.png,commercial_cola_artwork,23054001000947,images/cola-23054001000947-01.png,7dabceca8fc53f01b3e183f4fc76776ea131d60fa25aeba3399aa71bf370b0f7,1475,602,GREAT NOTION,MALT BEVERAGES SPECIALITIES - FLAVORED,"Great Notion Brewing & Barrel House, Humboldt Street Collective, LLC 2444 NW 28TH AVE Portland OR 97210",12.1,500 mL,Lucas Chatham,yes,,yes,unreadable,light-on-dark,28,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-23054001000950-01,cola-23054001000950-01.jpg,commercial_cola_artwork,23054001000950,images/cola-23054001000950-01.jpg,3b63c851512d2bd8590324f83bead84f354ea7ee17222e05c95cfd4e9ac8d9a8,1200,1600,GREAT NOTION,MALT BEVERAGES SPECIALITIES - FLAVORED,"Great Notion Brewing & Barrel House, Humboldt Street Collective, LLC 2444 NW 28TH AVE Portland OR 97210",12.1,,Lucas Chatham,yes,,yes,unreadable,light-on-dark,31,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-23296001000347-01,cola-23296001000347-01.jpg,commercial_cola_artwork,23296001000347,images/cola-23296001000347-01.jpg,63ab870c0b21515c29e4a5089b39e11d5d4975b89fa310ec9545a652fafcdb6c,1200,1600,GREAT NOTION,MALT BEVERAGES SPECIALITIES - FLAVORED,"Great Notion Brewing & Barrel House, Humboldt Street Collective, LLC 2444 NW 28TH AVE Portland OR 97210",9.3,,Lucas Chatham,yes,,yes,unreadable,light-on-dark,31,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-23296001000366-01,cola-23296001000366-01.jpg,commercial_cola_artwork,23296001000366,images/cola-23296001000366-01.jpg,e1b1668c8bb894ea8929c241f2283f0deecad88e36eb567e03d9f81b8ce8426d,1200,1600,GREAT NOTION,MALT BEVERAGES SPECIALITIES - FLAVORED,"Great Notion Brewing & Barrel House, Humboldt Street Collective, LLC 2444 NW 28TH AVE Portland OR 97210",6.1,,Lucas Chatham,yes,,yes,unreadable,light-on-dark,31,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26199001000065-02,cola-26199001000065-02.png,commercial_cola_artwork,26199001000065,images/cola-26199001000065-02.png,52cac0488cea74b3fe421701cdcf5a86be157a19bab40e0e1b4af76cd3d3d7b7,460,557,DOMAINE LEFLAIVE,TABLE WHITE WINE,WINE CELLARS LTD. 253 ROUTE 202 STE 1 SOMERS NY 10589,,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,15,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26202001000840-01,cola-26202001000840-01.jpg,commercial_cola_artwork,26202001000840,images/cola-26202001000840-01.jpg,fbb85eb6153632daa158accdf851e3afcf872298ccd3f037ba7253e3a5fd3998,770,888,LA SPINONA,SPARKLING WINE/CHAMPAGNE,Parker Wolf Selections Inc 12300 WIRTH DR UNIT A Manchaca TX 78652,12.5,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,27,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26205001000390-01,cola-26205001000390-01.jpg,commercial_cola_artwork,26205001000390,images/cola-26205001000390-01.jpg,10506851e25a4df4990d43553abc83d624240225ad4bd57187b24f72f399c155,1540,1021,CONCEJO,TABLE RED WINE,"CROD TRADING CORP, CROD TRADING CO CORP. 1 KM 28.6 BO. RIO CANAS BLDG Carr #1 Km 28.6 Bo. Rio Canas CAGUAS PR 00725",,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,22,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26216001000317-02,cola-26216001000317-02.jpg,commercial_cola_artwork,26216001000317,images/cola-26216001000317-02.jpg,2815e330d6c9f3cf6b7bc3ff9207a4f5660fb7db43781a08dfbb55b268ef73c3,713,826,SIX NOIX,OTHER (HERBS & SEEDS),"Forthave Spirits, Bitter Thieves, LLC 630 FLUSHING AVE Brooklyn NY 11206",28,375 mL,Lucas Chatham,yes,,yes,unreadable,dark-on-light,20,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26218001000008-02,cola-26218001000008-02.png,commercial_cola_artwork,26218001000008,images/cola-26218001000008-02.png,f32b5bda7f5af7369e0d4eed862e259a6b1a6c60f2cead2e76ce6e825354d000,941,797,BASE CAMP DISTILLING CO,VODKA - OTHER FLAVORED,"Base Camp Distilling Co., DETA Investments LLC 939 FRONT STREET UNIT B Leavenworth WA 98826",,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,39,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
